normal,scenario5_highway,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,
load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,
0.65,1139613,238462,23078,9.21007,0.066346,9.27641,,0.65,408843,1924,969232,0.0746715,2.8439,2.91857,,0.65,1131536,238462,23078,9.25485,0.0862489,9.3411,,0.65,430382,1924,969232,0.0746715,2.78198,2.85665,,0.65,1139998,238462,23078,9.19514,0.066346,9.26149,,0.65,431921,1924,969232,0.0746715,2.77756,2.85223,,0.65,1104998,238462,23078,9.23992,0.163649,9.40357,,0.65,428844,1924,969232,0.0746715,2.7864,2.86108,,0.65,1136536,238462,23078,9.23992,0.0729803,9.3129,,0.65,428844,1924,969232,0.0746715,2.7864,2.86108,,0.65,1124613,238462,23078,9.22499,0.108363,9.33336,,0.65,426536,1924,969232,0.0746715,2.79304,2.86771,,
0.6,1117915,258334,25001,9.21007,0.0663455,9.27641,,0.6,326248,2084,1050001,0.0746596,2.8439,2.91856,,0.6,1109165,258334,25001,9.25485,0.0862484,9.3411,,0.6,349581,2084,1050001,0.0746596,2.78198,2.85664,,0.6,1118331,258334,25001,9.19514,0.0663455,9.26148,,0.6,351248,2084,1050001,0.0746596,2.77756,2.85222,,0.6,1080415,258334,25001,9.23992,0.163648,9.40357,,0.6,347915,2084,1050001,0.0746596,2.7864,2.86106,,0.6,1114581,258334,25001,9.23992,0.0729798,9.3129,,0.6,347915,2084,1050001,0.0746596,2.7864,2.86106,,0.6,1101665,258334,25001,9.225,0.108363,9.33336,,0.6,345415,2084,1050001,0.0746596,2.79304,2.8677,,
0.55,1092271,281819,27273,9.21007,0.0663435,9.27642,,0.55,236530,2273,1145455,0.167194,2.81784,2.98503,,0.55,1082726,281819,27273,9.25486,0.0862466,9.3411,,0.55,254090,2273,1145455,0.0746447,2.78198,2.85662,,0.55,1092726,281819,27273,9.19514,0.0663435,9.26149,,0.55,255908,2273,1145455,0.0746447,2.77756,2.8522,,0.55,1051362,281819,27273,9.23993,0.163647,9.40357,,0.55,252272,2273,1145455,0.0746447,2.7864,2.86105,,0.55,1088635,281819,27273,9.23993,0.0729779,9.3129,,0.55,252272,2273,1145455,0.0746447,2.7864,2.86105,,0.55,1074544,281819,27273,9.225,0.108361,9.33336,,0.55,249544,2273,1145455,0.0746447,2.79304,2.86768,,
0.5,1061497,310001,30002,9.21008,0.0663473,9.27642,,0.5,155197,2501,1262802,0.537413,2.71298,3.2504,,0.5,1050997,310001,30002,9.25486,0.0862501,9.34111,,0.5,136697,2501,1262802,0.0746656,2.78817,2.86284,,0.5,1061997,310001,30002,9.19515,0.0663473,9.2615,,0.5,138697,2501,1262802,0.0746656,2.78375,2.85842,,0.5,1016497,310001,30002,9.23993,0.16365,9.40358,,0.5,137497,2501,1260002,0.0746656,2.7864,2.86107,,0.5,1057497,310001,30002,9.23993,0.0729816,9.31291,,0.5,137497,2501,1260002,0.0746656,2.7864,2.86107,,0.5,1041997,310001,30002,9.225,0.108364,9.33337,,0.5,134497,2501,1260002,0.0746656,2.79304,2.8677,,
0.45,1023886,344445,33335,9.21006,0.0663462,9.27641,,0.45,213531,71667,1127246,2.29581,2.19135,4.48716,,0.45,1012220,344445,33335,9.25484,0.0862488,9.34109,,0.45,202975,71667,1127246,1.92263,2.24,4.16263,,0.45,1024442,344445,33335,9.19513,0.0663462,9.26148,,0.45,204864,71667,1127246,1.91964,2.23646,4.15611,,0.45,973886,344445,33335,9.23992,0.163649,9.40356,,0.45,25420,13112,1361468,0.352304,2.70971,3.06201,,0.45,1019442,344445,33335,9.23992,0.0729804,9.3129,,0.45,25420,13112,1361468,0.352304,2.70971,3.06201,,0.45,1002220,344445,33335,9.22499,0.108363,9.33335,,0.45,26220,13112,1361468,0.389322,2.70538,3.0947,,
0.4,976872,387501,37502,9.21007,0.0663464,9.27642,,0.4,193449,119375,1112801,3.31383,1.88909,5.20292,,0.4,963747,387501,37502,9.25485,0.0862487,9.3411,,0.4,169761,119375,1112801,2.84661,1.96561,4.81221,,0.4,977497,387501,37502,9.19514,0.0663464,9.26149,,0.4,171699,119375,1112801,2.84213,1.96251,4.80464,,0.4,920622,387501,37502,9.23993,0.163649,9.40357,,0.4,63199,84500,1252301,2.01815,2.2155,4.23365,,0.4,971872,387501,37502,9.23993,0.0729805,9.31291,,0.4,63199,84500,1252301,2.01815,2.2155,4.23365,,0.4,952497,387501,37502,9.225,0.108364,9.33336,,0.4,64099,84500,1252301,2.05517,2.21116,4.26633,,
0.35,916426,442858,42858,9.21006,0.0663442,9.27641,,0.35,260626,225001,917087,4.97972,1.39488,6.3746,,0.35,904641,442858,42858,9.27724,0.0796126,9.35685,,0.35,259697,225001,917087,4.69461,1.41744,6.11205,,0.35,917141,442858,42858,9.19514,0.0663442,9.26148,,0.35,248626,225001,917087,4.59758,1.44176,6.03935,,0.35,856723,442858,42858,9.27575,0.153899,9.42965,,0.35,71912,163001,1165087,3.40639,1.80355,5.20995,,0.35,910712,442858,42858,9.23992,0.0729784,9.3129,,0.35,71912,163001,1165087,3.40639,1.80355,5.20995,,0.35,888569,442858,42858,9.22499,0.108361,9.33335,,0.35,72940,163001,1165087,3.44341,1.79922,5.24263,,
0.3,848332,520834,33334,9.28469,0.0442295,9.32892,,0.3,226198,314167,862801,5.90519,1.12005,7.02523,,0.3,830832,520834,33334,9.32948,0.0641323,9.39361,,0.3,224865,314167,862801,5.61858,1.14304,6.76163,,0.3,849165,520834,33334,9.26977,0.0442295,9.314,,0.3,211698,314167,862801,5.52006,1.16781,6.68788,,0.3,791772,516667,50001,9.42799,0.108662,9.53666,,0.3,68031,262501,1069468,4.70207,1.41903,6.1211,,0.3,829165,516667,50001,9.23991,0.0729785,9.31289,,0.3,68031,262501,1069468,4.70207,1.41903,6.1211,,0.3,803332,516667,50001,9.22498,0.108361,9.33334,,0.3,67681,262501,1069468,4.72983,1.41744,6.14727,,
0.25,767997,635003,0,9.434,0,9.434,,0.25,140797,439002,786801,6.64559,0.900053,7.54565,,0.25,760497,635003,0,9.54595,0,9.54595,,0.25,157797,439002,786801,6.45154,0.89563,7.34717,,0.25,768997,635003,0,9.41907,0,9.41907,,0.25,159997,439002,786801,6.44258,0.893861,7.33645,,0.25,728997,630002,20001,9.7176,0.0221153,9.73972,,0.25,6797,383202,1010001,5.72011,1.11677,6.83688,,0.25,746497,630002,20001,9.39666,0.0265384,9.4232,,0.25,6797,383202,1010001,5.72011,1.11677,6.83688,,0.25,710997,630002,20001,9.35935,0.0685555,9.4279,,0.25,6377,383202,1010001,5.74788,1.11518,6.86306,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
