2.86104,2.86105,2.86105,2.86106,2.86106,2.86105,2.86105,2.86108,2.86106,2.86105,2.86726,4.24438,4.81979,5.53332,6.17497,7.42302,
2.86104,2.86105,2.86105,2.86106,2.86106,2.86105,2.86105,2.86108,2.86106,2.86105,2.86726,4.24438,4.81979,5.53332,6.17497,7.42302,
2.84629,2.84631,2.8463,2.84632,2.84632,2.84631,2.84631,2.84633,2.84632,2.8463,2.85252,4.22264,4.79454,5.50456,6.14272,7.17018,
2.84998,2.85,2.84999,2.85,2.85001,2.85,2.84999,2.85002,2.85,2.84999,2.8562,4.22808,4.80085,5.51175,6.15078,7.23339,
2.85219,2.85221,2.8522,2.85221,2.85222,2.85221,2.8522,2.85223,2.85222,2.8522,2.85842,4.23134,4.80464,5.51606,6.15562,7.27132,
2.84629,2.84631,2.8463,2.84632,2.84632,2.84631,2.84631,2.84633,2.84632,2.8463,2.85252,4.22264,4.79454,5.50456,6.14272,7.17018,
2.8484,2.84842,2.84841,2.84842,2.84843,2.84842,2.84841,2.84844,2.84843,2.84841,2.85463,4.22575,4.79815,5.50867,6.14732,7.2063,
2.84998,2.85,2.84999,2.85,2.85001,2.85,2.84999,2.85002,2.85,2.84999,2.8562,4.22808,4.80085,5.51175,6.15078,7.23339,
2.84138,2.8414,2.84139,2.8414,2.84141,2.8414,2.84139,2.84142,2.84141,2.84139,2.8476,4.21539,4.79356,5.488,6.12598,7.15827,
2.83892,2.83894,2.83893,2.83895,2.83895,2.83894,2.83894,2.83896,2.83895,2.83893,2.84515,4.21177,4.7886,5.4839,6.1212,7.10889,
