lock,scenario5_highway,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Previous,Previous,Previous,Previous,Previous,Previous
0.45,912122,312801,173910,8.3643,0.351438,8.71574
0.4,861213,354676,182798,8.43058,0.328703,8.75928
0.35,912932,442858,42858,9.22338,0.070767,9.29415
0.3,843332,520834,33334,9.28469,0.0508637,9.33556
0.25,766497,635003,0,9.45639,0,9.45639
,,,,,,
lock,scenario5_homearea_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed
1,768750,1250,630000,0.0746357,2.7864,2.86104
0.95,735525,1316,663159,0.0746477,2.7864,2.86105
0.9,698610,1389,700001,0.0746417,2.7864,2.86105
0.85,657352,1471,741177,0.0746566,2.7864,2.86106
0.8,610936,1563,787501,0.0746596,2.7864,2.86106
0.75,558332,1667,840001,0.0746506,2.7864,2.86105
0.7,498213,1786,900001,0.0746477,2.7864,2.86105
0.65,428844,1924,969232,0.0746715,2.7864,2.86108
0.6,347915,2084,1050001,0.0746596,2.7864,2.86106
0.55,252272,2273,1145455,0.0746447,2.7864,2.86105
0.5,134697,2501,1262802,0.0746656,2.7926,2.86726
0.45,198287,74467,1127246,2.00084,2.24354,4.24438
0.4,167824,119375,1112801,2.85108,1.9687,4.81979
0.35,119457,183516,1097027,3.83512,1.6982,5.53332
0.3,62431,265301,1072268,4.75222,1.42275,6.17497
0.25,174197,439002,786801,6.55305,0.869977,7.42302
,,,,,,
lock,scenario5_highway,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Previous,Previous,Previous,Previous,Previous,Previous
1,936145,60150,405600,3.58938,1.78568,5.37507
0.95,902121,59906,439999,3.39656,1.84035,5.23691
0.9,864317,59634,478221,3.2037,1.89501,5.09871
0.85,822065,59330,520940,3.01083,1.94968,4.96051
0.8,803398,70613,525300,3.31773,1.86519,5.18292
0.75,886099,116467,394800,5.13645,1.3242,6.46065
0.7,832916,120744,449368,5.04901,1.38169,6.4307
0.65,797525,134370,467446,5.16303,1.34958,6.51261
0.6,838883,178902,381927,6.35258,1.01848,7.37106
0.55,786318,194401,418942,6.3375,1.02338,7.36088
0.5,817397,246800,336003,7.31908,0.746231,8.06531
0.45,792935,286758,320084,7.66306,0.640597,8.30366
0.4,783775,347251,268499,8.24996,0.479082,8.72904
0.35,756612,422604,221871,8.7896,0.344883,9.13448
0.3,748744,507203,143859,9.05271,0.193552,9.24626
0.25,748997,630002,20001,9.35935,0.0265384,9.38589
,,,,,,
lock,scenario5_highway_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed
1,755750,1250,720000,0.0746357,2.8439,2.91853
0.95,721840,1316,757896,0.0746477,2.8439,2.91855
0.9,684165,1389,800001,0.0746417,2.8439,2.91854
0.85,642057,1471,847060,0.0746566,2.8439,2.91856
0.8,594686,1563,900000,0.0746596,2.8439,2.91856
0.75,540998,1667,960001,0.0746506,2.8439,2.91855
0.7,479641,1786,1028573,0.0746477,2.8439,2.91855
0.65,408843,1924,1107694,0.0746715,2.8439,2.91857
0.6,326248,2084,1200001,0.0746596,2.8439,2.91856
0.55,228635,2273,1309092,0.0746447,2.8439,2.91854
0.5,120517,33502,1318801,0.167217,2.8171,2.98432
0.45,29038,88245,1274933,0.655982,2.68001,3.336
0.4,26864,159850,1203901,2.11022,2.27296,4.38318
0.35,20565,249489,1132278,3.53174,1.87375,5.4055
0.3,6353,358735,1026529,4.8433,1.49041,6.3337
0.25,6877,501002,898801,5.97925,1.09749,7.07674
,,,,,,
lock,scenario5_city,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Previous,Previous,Previous,Previous,Previous,Previous
1,934250,60150,405600,3.59147,1.79391,5.38538
0.95,900095,59906,439999,3.39806,1.84875,5.24681
0.9,862145,59634,478221,3.20459,1.90359,5.10819
0.85,819730,59330,520940,3.01113,1.95844,4.96957
0.8,804087,70613,525300,3.37296,1.85866,5.23162
0.75,888733,116467,394800,5.21556,1.30961,6.52517
0.7,829888,120744,449368,5.04662,1.39124,6.43786
0.65,798184,134370,467446,5.21498,1.34384,6.55882
0.6,839171,178902,381927,6.40919,1.01353,7.42271
0.55,786657,194401,418942,6.38407,1.01911,7.40318
0.5,817197,246800,336003,7.36804,0.743047,8.11108
0.45,793158,286758,320084,7.70486,0.637059,8.34192
0.4,784250,347251,268499,8.29354,0.475013,8.76856
0.35,755525,422604,221871,8.83158,0.343456,9.17503
0.3,748938,507203,143859,9.08531,0.19088,9.27619
0.25,749997,630002,20001,9.40413,0.0221154,9.42625
,,,,,,
lock,scenario5_city_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed
1,769250,1250,630000,0.0746357,2.78419,2.85882
0.95,736051,1316,663159,0.0746477,2.78419,2.85884
0.9,699165,1389,700001,0.0746417,2.78419,2.85883
0.85,657940,1471,741177,0.0746566,2.78419,2.85885
0.8,611560,1563,787501,0.0746596,2.78419,2.85885
0.75,558998,1667,840001,0.0746506,2.78419,2.85884
0.7,498927,1786,900001,0.0746477,2.78419,2.85884
0.65,429613,1924,969232,0.0746715,2.78419,2.85886
0.6,348748,2084,1050001,0.0746596,2.78419,2.85885
0.55,253181,2273,1145455,0.0746447,2.78419,2.85883
0.5,138497,2501,1260002,0.0746656,2.78419,2.85886
0.45,27844,13112,1361468,0.361555,2.7042,3.06575
0.4,24854,75675,1301601,1.81216,2.2986,4.11075
0.35,21044,155316,1223825,3.23714,1.89484,5.13197
0.3,6032,255402,1139861,4.57102,1.511,6.08202
0.25,7117,383202,1010001,5.71175,1.11704,6.82879
,,,,,,
lock,scenario5_homearea,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum
load,Previous,Previous,Previous,Previous,Previous,Previous
1,934250,60150,405600,3.59147,1.79391,5.38538
0.95,900095,59906,439999,3.39806,1.84875,5.24681
0.9,862145,59634,478221,3.20459,1.90359,5.10819
0.85,819730,59330,520940,3.01113,1.95844,4.96957
0.8,804087,70613,525300,3.37296,1.85866,5.23162
0.75,888733,116467,394800,5.21556,1.30961,6.52517
0.7,829888,120744,449368,5.04662,1.39124,6.43786
0.65,798184,134370,467446,5.21498,1.34384,6.55882
0.6,839171,178902,381927,6.40919,1.01353,7.42271
0.55,786657,194401,418942,6.38407,1.01911,7.40318
0.5,817197,246800,336003,7.36804,0.743047,8.11108
0.45,793158,286758,320084,7.70486,0.637059,8.34192
0.4,784250,347251,268499,8.29354,0.475013,8.76856
0.35,755525,422604,221871,8.83158,0.343456,9.17503
0.3,748938,507203,143859,9.08531,0.19088,9.27619
0.25,749997,630002,20001,9.40413,0.0221154,9.42625
,,,,,,
